"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","package_ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date","Manufacture Date from Wholesale","Manufacture Date from Cult","Manufacture Date from Downtown"
"4663","iLAVA","Molecular Live Resin Cartridge 500mg - Strawberry Cooler","Strawberry Cooler","230131-011","41884","12/27/2022","https://lims.tagleaf.com/coas/OvEIXM759KFnChmLZi8Raue8JK5W4wh1FEXeY2t01e5TDxHYZX","Forever 46, LLC - 00000057DCHF00477864","","","5/22/2023",NA,"5/22/2023"
"4664","DTF - Downtown Flower","Cali-O-Socks 3.5g - Mid","Cali-O-Socks","Cali-O Socks-221227.0001","35228","12/27/2022","https://lims.tagleaf.com/coas/SPxnlEEktfPRKVVXvSs6IVi1MciS8cybwa1PhSqJpVJ7HmcGG2","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/22/2023",NA
"4665","DTF - Downtown Flower","Cali-O-Socks 3.5g - Mid","Cali-O-Socks","Cali-O Socks-221227.0001","35228","12/27/2022","https://lims.tagleaf.com/coas/SPxnlEEktfPRKVVXvSs6IVi1MciS8cybwa1PhSqJpVJ7HmcGG2","Forever 46, LLC - 00000057DCHF00477864","","",NA,"",NA
"4666","DTF - Downtown Flower","Cali-O-Socks 3.5g - Mid","Cali-O-Socks","Cali-O Socks-221227.0001","35228","12/27/2022","https://lims.tagleaf.com/coas/SPxnlEEktfPRKVVXvSs6IVi1MciS8cybwa1PhSqJpVJ7HmcGG2","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/22/2023",NA
"4667","DTF - Downtown Flower","A La Oreoz 28g - Value","A La Oreoz","ALO-221227.0001","35347","12/27/2022","https://lims.tagleaf.com/coas/jYNoz8tL8uqMPH3fIXTT1J3DRMSqLDRTdT2EOjvd6lH0JL02we","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/24/2023",NA
"4668","DTF - Downtown Flower","A La Oreoz 28g - Value","A La Oreoz","ALO-221227.0001","35347","12/27/2022","https://lims.tagleaf.com/coas/jYNoz8tL8uqMPH3fIXTT1J3DRMSqLDRTdT2EOjvd6lH0JL02we","Forever 46, LLC - 00000057DCHF00477864","","",NA,"",NA
"4669","DTF - Downtown Flower","A La Oreoz 28g - Value","A La Oreoz","ALO-221227.0001","35347","12/27/2022","https://lims.tagleaf.com/coas/jYNoz8tL8uqMPH3fIXTT1J3DRMSqLDRTdT2EOjvd6lH0JL02we","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/24/2023",NA
"4670","DTF - Downtown Flower","nu TGK 14g - Mid","nu TGK","ntgk-221227.0001","35233","12/27/2022","https://lims.tagleaf.com/coas/iepBjUHdrjRVEfpIoHgQsD0DIMsvuknlzAUQTlmSyLZvJuIuLW","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/22/2023",NA
"4671","DTF - Downtown Flower","nu TGK 14g - Mid","nu TGK","ntgk-221227.0001","35233","12/27/2022","https://lims.tagleaf.com/coas/iepBjUHdrjRVEfpIoHgQsD0DIMsvuknlzAUQTlmSyLZvJuIuLW","Forever 46, LLC - 00000057DCHF00477864","","",NA,"",NA
"4672","DTF - Downtown Flower","nu TGK 14g - Mid","nu TGK","ntgk-221227.0001","35233","12/27/2022","https://lims.tagleaf.com/coas/iepBjUHdrjRVEfpIoHgQsD0DIMsvuknlzAUQTlmSyLZvJuIuLW","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/22/2023",NA
